id,type,text,simplicity,uptodateness
195,original,"Administrative termination Memberships may be terminated at the discretion of the ruling body of the Church of Satan consisting of the High Priest , the High Priestess and the Council of Nine .",,
195,cand_a,"Memberships may be ended at the judgement of the ruling body of the Church of Satan, made up of the High Priest, the High Priestess and the Council of Nine",4,5
195,cand_b,"Memberships may be ended by the Church of Satan’s leaders: the High Priest, the High Priestess, and the Council of Nine.",5,5
572,original,Key factors in an RTOS are therefore a minimal interrupt latency and a minimal thread switching latency .,,
572,cand_a,The key factors for an RTOS are a minimal interrupt latency and a minimal thread switching latency.,4,3
572,cand_b,"So, the key factors in an RTOS are low interrupt delay and low thread switching delay.",5,5
314,original,Health considerations Early-term surgical abortion is a simple procedure which is safer than childbirth when performed before the 16th week .,,
314,cand_a,Early-term surgical abortion is a simple procedure which is safer than childbirth when done before the 16th week.,5,4
314,cand_b,Early surgical abortion is a simple procedure that is safer than childbirth if done before 16 weeks.,5,4
587,original,"As recently as 1967 , the World Health Organization estimated that 15 million people contracted the disease and that two million died in that year .",,
587,cand_a,"As late as 1967, the World Health Organization estimated that 15 million people got the disease and that two million died in that year.",3,3
587,cand_b,"In 1967, the World Health Organization estimated that 15 million people got the disease and that two million died that year.",4,5
344,original,"Backstory The general plot of the game is that a team of four , an Alien , a Human , an Android , and a Psionic , have left Earth aboard a spacecraft on the basis of the planet 's imminent destruction .",,
344,cand_a,"Backstory: The main idea of the game is that a team of four , an Alien , a Human , an Android , and a Psionic , have left Earth on a spacecraft on the basis of the planet 's total destruction .",4,3
344,cand_b,"The game is about a team of four—an alien, a human, an android, and a psionic—who leave Earth on a spaceship because the planet is about to be destroyed.",5,5
370,original,"A gas station , fueling station , filling station , service station , petrol station , garage , gasbar , petrol pump or petrol bunk ( India ) is a facility which sells fuel and lubricants for motor vehicles .",,
370,cand_a,"A gas station, fueling station, filling station, service station, petrol station, garage, gasbar, petrol pump or petrol bunk (India) is a place that sells fuel and lubricants for motor vehicles.",4,4
370,cand_b,A gas station is a place that sells fuel and lubricants for motor vehicles.,5,5
139,original,"History U.S. President Woodrow Wilson first proclaimed an Armistice Day for November 12 , 1919 .",,
139,cand_a,"U.S. President Woodrow Wilson first called an Armistice Day for November 12,1919.",4,3
139,cand_b,"U.S. President Woodrow Wilson first declared Armistice Day on November 12, 1919.",3,3
72,original,"During its heyday , Chang 'an was one of the largest and most populous cities in the world .",,
72,cand_a,"During its peak, Chang'an was one of the largest and most crowded cities in the world.",3,3
72,cand_b,"At its peak, Chang'an was one of the biggest and most crowded cities in the world.",3,4
253,original,"They were then replaced by the 4th Armored Division in 1957 , which was redesignated as the 1st Armored Division in 1971 and moved to Hindenburg Kaserne in Ansbach in 1972 .",,
253,cand_a,They were replaced by the 4th Armorer Division in 1957 which was redesignated as the 1st Armorer Division in 1971 and moved to Hindenburg Kaserne in Ansbach in 1972.,3,3
253,cand_b,"In 1957, the 4th Armored Division replaced them, was renamed the 1st Armored Division in 1971, and moved to Hindenburg Kaserne in Ansbach in 1972.",4,4
434,original,Regular season The Boston Bruins led the league in overall points with 110 .,,
434,cand_a,The bruins led in league in regular seasons with average of 110.,4,4
434,cand_b,"In the regular season, the Boston Bruins led the league with 110 points.",5,5
269,original,He excelled in history throughout his school years while his grades in other subjects remained average .,,
269,cand_a,"His history grades were high, but average for his other subjects, during the school years.",4,3
269,cand_b,"He did very well in history all through school, while his grades in other subjects stayed average.",5,4
126,original,"Boxing , amateur wrestling , puroresu , mixed martial arts and fencing are examples of combat sports .",,
126,cand_a,"Boxing, amateur wrestling, puroresu, mixed martial arts, and fencing are combat sports.",3,5
126,cand_b,"Boxing, amateur wrestling, puroresu, mixed martial arts, and fencing are types of combat sports.",3,4
334,original,A medical emergency is an injury or illness that is acute and poses an immediate risk to a person 's life or long term health .,,
